2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01006581 : Liverpool 036C,57.0,29.3,9.4,3.2,1.2,
E01006773 : Liverpool 036D,51.6,30.6,12.9,3.6,1.3,
E01006774 : Liverpool 036E,51.5,32.6,10.7,3.9,1.3,
E01006514 : Liverpool 037A,54.0,31.7,8.6,4.3,1.3,
E01006673 : Liverpool 037D,45.0,32.2,13.2,7.5,2.2,
E01033757 : Liverpool 037E,49.9,38.5,8.4,2.4,0.8,
E01033768 : Liverpool 037F,42.3,35.5,13.7,6.4,2.2,
E01034402 : Liverpool 037G,46.0,36.8,11.7,4.7,0.8,
E01034403 : Liverpool 037H,46.2,32.9,13.5,5.8,1.5,
E01006550 : Liverpool 038A,59.5,29.2,9.0,2.0,0.3,
E01006557 : Liverpool 038B,56.4,32.5,8.6,2.0,0.5,
E01006721 : Liverpool 038C,43.1,31.4,15.3,7.0,3.1,
E01006722 : Liverpool 038D,56.9,31.9,7.8,2.4,0.9,
E01006723 : Liverpool 038E,51.9,31.6,11.7,3.6,1.1,
E01006724 : Liverpool 038F,55.6,30.4,10.3,2.6,1.1,
E01006552 : Liverpool 039A,49.2,32.4,11.5,5.4,1.5,
E01006556 : Liverpool 039B,46.2,31.8,12.1,7.4,2.5,
E01006674 : Liverpool 039C,49.8,27.7,13.0,6.8,2.7,
E01006679 : Liverpool 039D,51.8,29.2,11.5,6.0,1.5,
E01006709 : Liverpool 040A,43.3,32.4,14.0,8.0,2.3,
E01006769 : Liverpool 040B,38.7,28.4,18.3,11.5,3.2,
E01006770 : Liverpool 040C,45.8,30.8,12.6,8.4,2.5,
E01006771 : Liverpool 040D,34.4,30.1,18.9,12.3,4.3,
E01006772 : Liverpool 040E,45.1,30.6,15.3,7.2,1.8,
E01006775 : Liverpool 040F,39.9,30.5,17.1,9.2,3.3,
E01006582 : Liverpool 041A,56.6,30.4,9.0,2.9,1.1,
E01006589 : Liverpool 041B,51.1,30.8,13.4,3.6,1.1,
E01006591 : Liverpool 041C,58.8,29.2,8.4,2.6,1.0,
E01006592 : Liverpool 041D,57.4,27.6,11.0,2.7,1.3,
E01006597 : Liverpool 041E,54.4,30.6,10.4,3.7,1.0,
E01006553 : Liverpool 042A,57.2,30.5,8.5,3.1,0.7,
E01006588 : Liverpool 042C,52.0,31.5,12.3,3.2,1.1,
E01006590 : Liverpool 042D,52.5,30.8,10.1,5.6,1.0,
E01006593 : Liverpool 042E,57.7,29.9,8.3,3.3,0.8,
E01034404 : Liverpool 042H,60.2,31.4,6.3,1.5,0.5,
E01006520 : Liverpool 043A,47.7,32.6,13.7,4.5,1.6,
E01006549 : Liverpool 043B,48.1,35.2,10.2,5.6,0.8,
E01006675 : Liverpool 043C,44.7,32.4,13.8,6.8,2.2,
E01006677 : Liverpool 043D,49.2,29.8,14.2,5.0,1.8,
E01006518 : Liverpool 044A,38.1,27.6,18.4,12.0,3.8,
E01006630 : Liverpool 044B,48.3,30.8,12.9,6.0,2.0,
E01006632 : Liverpool 044C,41.5,31.4,16.5,8.0,2.7,
E01006676 : Liverpool 044D,47.9,28.7,14.0,7.4,2.0,
E01006678 : Liverpool 044E,41.8,29.4,16.3,9.5,2.9,
E01006706 : Liverpool 045A,37.6,32.4,15.6,11.0,3.4,
E01006707 : Liverpool 045B,41.7,31.0,16.1,7.8,3.4,
E01006708 : Liverpool 045C,44.1,30.5,16.1,6.7,2.6,
E01006710 : Liverpool 045D,42.5,31.5,16.4,7.7,1.8,
E01006792 : Liverpool 046A,56.6,27.4,12.3,3.0,0.7,
E01006794 : Liverpool 046B,49.0,33.9,13.0,3.0,1.1,
E01006800 : Liverpool 046C,44.4,31.7,16.5,5.7,1.8,
E01006801 : Liverpool 046D,54.7,29.1,12.0,3.1,1.2,
E01006532 : Liverpool 047A,56.4,29.4,10.1,3.1,1.0,
E01006539 : Liverpool 047B,53.0,31.6,11.3,3.0,1.0,
E01006583 : Liverpool 047C,57.9,30.7,8.3,2.6,0.5,
E01006594 : Liverpool 047D,56.2,29.9,10.3,3.0,0.6,
E01006796 : Liverpool 047E,56.5,30.0,9.0,3.8,0.7,
E01006522 : Liverpool 048A,48.2,29.6,14.9,5.4,1.9,
E01006524 : Liverpool 048B,49.6,31.2,13.1,4.8,1.3,
E01006526 : Liverpool 048C,51.0,29.6,14.4,3.9,1.1,
E01006529 : Liverpool 048D,55.8,29.3,9.8,4.2,0.9,
E01006551 : Liverpool 048E,31.4,30.7,21.9,12.4,3.6,
E01006554 : Liverpool 048F,53.7,30.7,11.1,3.6,0.8,
E01006525 : Liverpool 049A,53.9,31.8,10.4,2.9,1.1,
E01006595 : Liverpool 049B,48.2,34.8,12.2,3.7,1.1,
E01006596 : Liverpool 049C,51.9,31.7,13.1,2.9,0.5,
E01006689 : Liverpool 049D,55.8,29.4,10.3,3.6,0.8,
E01006633 : Liverpool 050B,39.2,27.3,18.1,11.5,3.9,
E01032505 : Liverpool 050F,48.6,30.3,12.1,6.4,2.5,
E01032506 : Liverpool 050G,45.9,31.4,16.0,4.4,2.3,
